"id","basket_value","recency_days","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","low_value_basket","medium_value_basket","high_value_basket","Cluster","cluster1","cluster2","cluster3","cluster4","cluster5"
1,1.1,2,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
2,3.6,31,"no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
3,1.2,7,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
4,6.6,7,"no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
5,2.5,66,"no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
6,2.7,61,"no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
7,2.2,67,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
8,3.5,47,"no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
10,1.2,7,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
11,7.9,17,"no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
12,7.3,24,"yes","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
14,3.9,47,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",2,no,"yes",no,no,no
15,2.1,72,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
19,3.1,47,"no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
21,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
22,4.1,76,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
23,1.2,7,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
24,7.2,3,"no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
25,7.2,21,"no","yes","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
26,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
27,1.5,73,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
28,11.9,11,"no","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
29,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
30,1.7,52,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
31,2.9,38,"no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
32,4.9,28,"no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
33,4.1,47,"no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","yes","no",2,no,"yes",no,no,no
34,9.3,9,"no","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
36,5.8,76,"no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no",4,no,no,no,"yes",no
39,4.1,49,"no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","yes","no",2,no,"yes",no,no,no
40,1.1,2,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
41,8.8,5,"no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
42,12.2,76,"no","yes","yes","no","no","no","no","yes","no","yes","yes","yes","no","no","no","yes",4,no,no,no,"yes",no
43,1.5,66,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
45,11.9,6,"no","no","no","no","yes","no","yes","yes","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
47,5.5,76,"no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
48,2.2,73,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
50,11.6,4,"no","no","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
51,7.1,2,"no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
53,2.5,71,"no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
54,3.4,30,"no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
55,4.4,27,"no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","yes","no",1,"yes",no,no,no,no
56,6.8,76,"no","no","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
58,6.7,2,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
59,7.3,22,"no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
60,6.3,76,"no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
61,2.5,69,"no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
62,9,76,"no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
63,6.1,10,"no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
