"id","basket_value","recency_days","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","low_value_basket","medium_value_basket","high_value_basket"
1,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
2,3.6,31,no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
3,1.2,7,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
4,6.6,7,no,no,no,no,no,no,no,"yes",no,no,no,no,no,no,no,"yes"
5,2.5,66,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
6,2.7,61,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
7,2.2,67,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
8,3.5,47,no,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,"yes",no
10,1.2,7,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
11,7.9,17,no,"yes",no,"yes",no,"yes","yes",no,no,no,no,no,no,no,no,"yes"
12,7.3,24,"yes","yes","yes",no,no,no,"yes","yes",no,no,no,no,no,no,no,"yes"
14,3.9,47,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,"yes",no
15,2.1,72,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
19,3.1,47,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no
21,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
22,4.1,76,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
23,1.2,7,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
24,7.2,3,no,"yes",no,no,no,no,no,no,no,no,no,no,no,no,no,"yes"
25,7.2,21,no,"yes",no,"yes","yes",no,no,no,no,"yes",no,no,no,no,no,"yes"
26,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
27,1.5,73,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
28,11.9,11,no,no,no,no,"yes","yes",no,no,"yes",no,no,"yes",no,no,no,"yes"
29,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
30,1.7,52,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
31,2.9,38,no,no,no,no,no,no,"yes","yes",no,no,no,no,no,no,"yes",no
32,4.9,28,no,no,no,"yes","yes",no,"yes",no,no,no,no,no,no,no,"yes",no
33,4.1,47,no,no,"yes","yes",no,no,no,no,no,"yes",no,no,no,no,"yes",no
34,9.3,9,no,no,"yes","yes",no,no,no,no,no,no,no,"yes",no,no,no,"yes"
36,5.8,76,no,no,no,no,no,no,no,no,no,no,"yes","yes",no,no,"yes",no
39,4.1,49,no,no,"yes","yes",no,no,no,no,no,"yes",no,no,no,no,"yes",no
40,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
41,8.8,5,no,no,no,no,"yes",no,no,no,"yes",no,no,"yes",no,no,no,"yes"
42,12.2,76,no,"yes","yes",no,no,no,no,"yes",no,"yes","yes","yes",no,no,no,"yes"
43,1.5,66,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
45,11.9,6,no,no,no,no,"yes",no,"yes","yes",no,no,no,"yes",no,no,no,"yes"
47,5.5,76,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no,no,"yes",no
48,2.2,73,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
50,11.6,4,no,no,no,"yes","yes",no,"yes",no,no,"yes",no,no,no,no,no,"yes"
51,7.1,2,no,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
53,2.5,71,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
54,3.4,30,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no
55,4.4,27,no,no,"yes",no,no,no,no,"yes",no,no,no,"yes",no,no,"yes",no
56,6.8,76,no,no,"yes",no,no,no,no,"yes",no,no,"yes",no,no,no,no,"yes"
58,6.7,2,no,no,no,no,"yes",no,"yes",no,no,no,no,no,no,no,no,"yes"
59,7.3,22,no,no,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes"
60,6.3,76,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no,no,no,"yes"
61,2.5,69,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
62,9,76,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no,no,no,"yes"
63,6.1,10,no,no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
64,4.3,35,no,"yes",no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no
65,8,76,no,no,no,no,"yes",no,no,no,no,no,"yes","yes",no,no,no,"yes"
66,1.2,7,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
69,6.1,1,no,no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
70,8.6,16,no,"yes","yes",no,"yes","yes",no,no,no,no,no,no,no,no,no,"yes"
72,4.3,50,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no
73,5.4,69,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no
74,2.9,35,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
76,4.7,31,no,no,"yes","yes","yes",no,no,no,no,no,no,no,no,no,"yes",no
77,6.4,76,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,no,"yes"
78,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
79,3.1,34,no,no,no,no,no,no,"yes",no,no,no,no,"yes",no,no,"yes",no
81,3.1,40,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no
82,5,47,no,no,"yes",no,"yes",no,no,no,no,"yes",no,no,no,no,"yes",no
83,1.6,58,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
85,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
86,10.2,19,no,no,no,no,"yes",no,no,"yes","yes","yes",no,no,no,no,no,"yes"
88,6.4,11,no,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes"
89,1.5,64,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
90,1.7,61,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
93,7.7,17,"yes",no,no,no,no,no,no,"yes",no,no,no,no,no,no,no,"yes"
94,9.3,22,"yes",no,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes"
97,7.1,13,no,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
98,6.1,9,"yes","yes",no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,"yes"
99,2.7,64,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
100,3.2,45,"yes","yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
101,1.7,67,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
102,14.1,76,no,no,"yes",no,"yes",no,no,no,"yes",no,"yes","yes",no,no,no,"yes"
103,3.6,46,no,no,no,no,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no
104,7.6,18,no,no,"yes",no,no,no,no,"yes","yes",no,no,no,no,no,no,"yes"
105,1.7,62,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
106,2.2,75,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
107,2.7,52,"yes",no,no,no,no,no,no,no,no,"yes",no,no,no,no,"yes",no
108,10.2,2,no,no,"yes",no,"yes",no,no,no,no,no,no,"yes",no,no,no,"yes"
110,2.1,55,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
